timestamp,pid,cpu_seconds,working_set_mb,private_memory_mb
2026-05-21T12:51:56.2326880+05:30,25412,0.86,63.49,37.59
2026-05-21T12:51:56.2428306+05:30,25620,0.83,63.57,37.71
2026-05-21T12:51:56.2528374+05:30,25852,0.75,62.37,36.57
2026-05-21T12:51:56.2659639+05:30,26044,0.06,40.56,13.98
2026-05-21T12:51:56.2768493+05:30,26844,0.05,40.64,14.04
2026-05-21T12:51:56.2865625+05:30,26896,0.23,44.25,50.55
2026-05-21T12:51:56.2955765+05:30,27944,6.22,203.85,215.79
2026-05-21T12:51:56.3076453+05:30,28108,0.8,64.7,38.72
2026-05-21T12:51:56.3175702+05:30,28276,0.83,63.82,38.15
2026-05-21T12:51:56.3256071+05:30,28324,0.05,40.61,13.91
2026-05-21T12:51:56.3343404+05:30,28392,0.47,50.2,23.05
2026-05-21T12:51:56.3448255+05:30,28420,0.06,40.54,13.91
2026-05-21T12:51:56.3538542+05:30,28492,0.7,63.27,37.51
2026-05-21T12:51:56.3666491+05:30,28508,0.69,63.28,37.48
2026-05-21T12:51:56.3746945+05:30,28584,0.84,63.8,37.88
2026-05-21T12:52:01.4014096+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:01.4014096+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:01.4191011+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:01.4231960+05:30,13468,84.48,148.32,158.45
2026-05-21T12:52:01.4438007+05:30,26896,0.23,44.25,50.55
2026-05-21T12:52:01.4583374+05:30,27944,14.53,312.88,329.88
2026-05-21T12:52:06.4881346+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:06.4887273+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:06.4961956+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:06.5115155+05:30,13468,86.48,151.32,161.53
2026-05-21T12:52:06.5198309+05:30,15760,0.39,60.5,68.38
2026-05-21T12:52:06.5241076+05:30,24552,0.22,48.57,54.69
2026-05-21T12:52:11.5452188+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:11.5462162+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:11.5568893+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:11.5644685+05:30,13468,88.14,159.05,169.08
2026-05-21T12:52:11.5723298+05:30,15760,1.06,104.68,118.24
2026-05-21T12:52:11.5832979+05:30,24552,0.22,48.57,54.69
2026-05-21T12:52:16.5980915+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:16.5980915+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:16.6091053+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:16.6158596+05:30,13468,90.3,148.99,158.5
2026-05-21T12:52:16.6280627+05:30,15760,1.42,116.27,124.78
2026-05-21T12:52:16.6364569+05:30,24552,0.25,44.13,50.66
2026-05-21T12:52:21.6539740+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:21.6544801+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:21.6587078+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:21.6741748+05:30,13468,92.45,156.59,168.29
2026-05-21T12:52:21.6825703+05:30,15760,1.42,116.9,125.55
2026-05-21T12:52:21.6906556+05:30,24552,0.25,44.13,50.66
2026-05-21T12:52:26.7088119+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:26.7088119+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:26.7186722+05:30,8368,0.33,37.77,50.48
2026-05-21T12:52:26.7249739+05:30,13468,94.52,157.3,168.02
2026-05-21T12:52:26.7374656+05:30,15760,1.77,90.41,96.85
2026-05-21T12:52:26.7456611+05:30,24552,0.25,44.13,50.66
2026-05-21T12:52:31.7725507+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:31.7765547+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:31.7865281+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:31.7958974+05:30,13468,96.61,155.91,168.02
2026-05-21T12:52:31.8066954+05:30,15760,1.81,88.76,94.83
2026-05-21T12:52:31.8150165+05:30,24552,0.25,44.13,50.66
2026-05-21T12:52:36.8280244+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:36.8295690+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:36.8388190+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:36.8501508+05:30,13468,98.97,154.17,167.43
2026-05-21T12:52:36.8582783+05:30,15760,1.84,88.38,94.39
2026-05-21T12:52:36.8670997+05:30,24552,0.25,44.1,50.6
2026-05-21T12:52:41.8765958+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:41.8817097+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:41.8906353+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:41.8994988+05:30,13468,100.97,150.99,160.92
2026-05-21T12:52:41.9076063+05:30,15760,1.84,88.39,94.39
2026-05-21T12:52:41.9156830+05:30,24552,0.25,44.1,50.6
2026-05-21T12:52:46.9306578+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:46.9306578+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:46.9444827+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:46.9514798+05:30,13468,102.86,154.13,163.77
2026-05-21T12:52:46.9678267+05:30,15760,1.84,88.39,94.39
2026-05-21T12:52:46.9726016+05:30,24552,0.25,44.1,50.6
2026-05-21T12:52:51.9877784+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:51.9877784+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:52.0019958+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:52.0146252+05:30,13468,104.73,149.74,159.04
2026-05-21T12:52:52.0227445+05:30,15760,1.84,88.39,94.39
2026-05-21T12:52:52.0302807+05:30,24552,0.25,44.1,50.6
2026-05-21T12:52:57.0514135+05:30,2572,10.55,81.32,62.61
2026-05-21T12:52:57.0514135+05:30,2964,0.25,44.05,50.28
2026-05-21T12:52:57.0616886+05:30,8368,0.33,37.78,50.51
2026-05-21T12:52:57.0730046+05:30,13468,106.47,148.22,157.27
2026-05-21T12:52:57.0807669+05:30,15760,1.84,88.39,94.39
2026-05-21T12:52:57.0888600+05:30,24552,0.25,44.1,50.6
2026-05-21T12:53:02.1165372+05:30,2572,10.55,81.32,62.61
